eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
565,7,53,0.8578,0.2551,0.2188,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
566,7,54,0.6276,0.4618,0.2898,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
567,7,55,0.7356,0.4473,0.329,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
568,7,56,0.5712,0.2461,0.1406,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
569,7,57,0.5122,0.4354,0.223,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
570,7,58,0.4596,0.4678,0.215,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
571,7,59,0.5484,0.3487,0.1912,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
572,7,60,0.7386,0.5919,0.4372,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
573,7,61,0.6434,0.4371,0.2812,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
574,7,62,0.4944,0.4858,0.2402,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
575,7,63,0.5566,0.8024,0.4466,0.491,1.0,0.936,0.8056,0.8398,1.178,0,25.1
576,8,0,0.3382,0.809,0.2736,0.491,1.0,0.936,0.8056,0.8398,1.2018,1,25.2
577,8,1,0.4842,0.3751,0.1816,0.491,1.0,0.936,0.8056,0.8398,1.2018,1,25.2
578,8,2,0.8514,0.0712,0.0606,0.491,1.0,0.936,0.8056,0.8398,1.2018,1,25.2
579,8,3,0.5062,0.8443,0.4274,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
580,8,4,0.4472,0.4665,0.2086,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
581,8,5,0.579,0.771,0.4464,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
582,8,6,0.6634,0.3576,0.2372,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
583,8,7,0.9998,0.002,0.002,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
584,8,8,0.3122,0.5042,0.1574,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
585,8,9,0.6646,0.4535,0.3014,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
586,8,10,0.9482,0.1476,0.14,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
587,8,11,0.626,0.4204,0.2632,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
588,8,12,0.6442,0.4443,0.2862,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
589,8,13,0.804,0.2756,0.2216,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
590,8,14,0.838,0.1573,0.1318,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
591,8,15,0.5398,0.7132,0.385,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
592,8,16,0.6758,0.4421,0.2988,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
593,8,17,0.5432,0.32,0.1738,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
594,8,18,0.723,0.382,0.2762,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
595,8,19,0.6144,0.5924,0.364,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
596,8,20,0.8632,0.2699,0.233,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
597,8,21,0.6454,0.3365,0.2172,0.491,1.0,0.936,0.8056,0.8443,1.2018,1,25.2
598,8,22,0.8164,0.55,0.449,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
599,8,23,0.5648,0.568,0.3208,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
600,8,24,0.54,0.5811,0.3138,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
601,8,25,0.4486,0.4271,0.1916,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
602,8,26,0.7424,0.2837,0.2106,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
603,8,27,0.5146,0.0564,0.029,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
604,8,28,0.7802,0.242,0.1888,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
605,8,29,0.6204,0.2924,0.1814,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
606,8,30,0.448,0.5335,0.239,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
607,8,31,0.5116,0.6955,0.3558,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
608,8,32,0.4738,0.4816,0.2282,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
609,8,33,0.5292,0.2706,0.1432,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
610,8,34,0.5914,0.5675,0.3356,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
611,8,35,0.839,0.1483,0.1244,0.491,1.0,0.936,0.8164,0.8443,1.2018,1,25.2
