eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
0,0,0,0.5546,0.2138,0.1186,0.1186,0.5546,0.2138,0.0,0.2138,1.1811,0,9.8
1,0,1,0.7266,0.0826,0.06,0.1186,0.7266,0.2138,0.0,0.2138,1.1811,0,9.8
2,0,2,0.7854,0.0991,0.0778,0.1186,0.7854,0.2138,0.0,0.2138,1.1811,0,9.8
3,0,3,0.4924,0.1202,0.0592,0.1186,0.7854,0.2138,0.0,0.2138,1.1811,0,9.8
4,0,4,0.548,0.3004,0.1646,0.1646,0.7854,0.3004,0.0,0.3004,1.1811,0,9.8
5,0,5,0.6654,0.1329,0.0884,0.1646,0.7854,0.3004,0.0,0.3004,1.1811,0,9.8
6,0,6,0.6808,0.2494,0.1698,0.1698,0.7854,0.3004,0.0,0.3004,1.1811,0,9.8
7,0,7,0.8652,0.0196,0.017,0.1698,0.8652,0.3004,0.0,0.3004,1.1811,0,9.8
8,0,8,0.854,0.0433,0.037,0.1698,0.8652,0.3004,0.0,0.3004,1.1811,0,9.8
9,0,9,0.765,0.0455,0.0348,0.1698,0.8652,0.3004,0.0,0.3004,1.1811,0,9.8
10,0,10,0.993,0.0111,0.011,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
11,0,11,0.5452,0.0363,0.0198,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
12,0,12,0.8224,0.0783,0.0644,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
13,0,13,0.5936,0.1722,0.1022,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
14,0,14,0.6414,0.1325,0.085,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
15,0,15,0.6782,0.0286,0.0194,0.1698,0.993,0.3004,0.0,0.3004,1.1811,0,9.8
16,0,16,0.831,0.0534,0.0444,0.1698,0.993,0.3004,0.0,0.3004,1.2123,0,9.8
17,0,17,0.5302,0.4017,0.213,0.1698,0.993,0.3004,0.0,0.3004,1.2123,0,9.8
18,0,18,0.375,0.0912,0.0342,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
19,0,19,0.834,0.1038,0.0866,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
20,0,20,0.8628,0.0454,0.0392,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
21,0,21,0.7952,0.1818,0.1446,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
22,0,22,0.798,0.0281,0.0224,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
23,0,23,0.862,0.08,0.069,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
24,0,24,0.7922,0.0202,0.016,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
25,0,25,0.9176,0.083,0.0762,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
26,0,26,0.456,0.0658,0.03,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
27,0,27,0.8672,0.0837,0.0726,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
28,0,28,0.7028,0.1002,0.0704,0.213,0.993,0.4017,0.0,0.4017,1.2123,0,9.8
