eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
0,0,0,0.5546,0.2138,0.1186,0.1186,0.5546,0.2138,0.0,0.2138,1.1942,0,10.2
1,0,1,0.7266,0.0826,0.06,0.1186,0.7266,0.2138,0.0,0.2138,1.1942,0,10.2
2,0,2,0.7854,0.0991,0.0778,0.1186,0.7854,0.2138,0.0,0.2138,1.1942,0,10.2
3,0,3,0.4924,0.1202,0.0592,0.1186,0.7854,0.2138,0.0,0.2138,1.1942,0,10.2
4,0,4,0.548,0.3004,0.1646,0.1646,0.7854,0.3004,0.0,0.3004,1.1942,0,10.2
5,0,5,0.6654,0.1329,0.0884,0.1646,0.7854,0.3004,0.0,0.3004,1.1942,0,10.2
6,0,6,0.6808,0.2494,0.1698,0.1698,0.7854,0.3004,0.0,0.3004,1.1942,0,10.2
7,0,7,0.8652,0.0196,0.017,0.1698,0.8652,0.3004,0.0,0.3004,1.1942,0,10.2
8,0,8,0.854,0.0433,0.037,0.1698,0.8652,0.3004,0.0,0.3004,1.1942,0,10.2
9,0,9,0.765,0.0455,0.0348,0.1698,0.8652,0.3004,0.0,0.3004,1.1942,0,10.2
10,0,10,0.993,0.0111,0.011,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
11,0,11,0.5452,0.0363,0.0198,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
12,0,12,0.8224,0.0783,0.0644,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
13,0,13,0.5936,0.1722,0.1022,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
14,0,14,0.6414,0.1325,0.085,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
15,0,15,0.6782,0.0286,0.0194,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
16,0,16,0.389,0.1362,0.053,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
17,0,17,0.7946,0.1868,0.1484,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
18,0,18,0.9558,0.0103,0.0098,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
19,0,19,0.8808,0.0461,0.0406,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
20,0,20,0.6542,0.1498,0.098,0.1698,0.993,0.3004,0.0,0.3004,1.1942,0,10.2
