eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
58,0,58,0.316,0.2348,0.0742,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
59,0,59,0.933,0.0116,0.0108,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
60,0,60,0.806,0.1226,0.0988,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
61,0,61,0.752,0.0766,0.0576,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
62,0,62,0.9014,0.1058,0.0954,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
63,0,63,0.3568,0.1155,0.0412,0.213,0.993,0.4017,0.0,0.4017,1.151,0,10.0
64,1,0,0.6724,0.3189,0.2144,0.2144,0.993,0.4017,0.0,0.4017,1.2119,0,10.1
65,1,1,0.58,0.1383,0.0802,0.2144,0.993,0.4017,0.0,0.4017,1.2119,0,10.1
66,1,2,0.8018,0.2297,0.1842,0.2144,0.993,0.4017,0.0,0.4017,1.2119,0,10.1
67,1,3,0.609,0.1442,0.0878,0.2144,0.993,0.4017,0.0,0.4017,1.2119,0,10.1
68,1,4,0.2678,0.8252,0.221,0.221,0.993,0.8252,0.2678,0.4017,1.2119,0,10.1
69,1,5,0.7886,0.0254,0.02,0.221,0.993,0.8252,0.2678,0.4017,1.2119,0,10.1
70,1,6,0.5012,0.5499,0.2756,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
71,1,7,0.463,0.0717,0.0332,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
72,1,8,0.9536,0.03,0.0286,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
73,1,9,0.9386,0.0808,0.0758,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
74,1,10,0.2688,0.7068,0.19,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
75,1,11,0.4856,0.1075,0.0522,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
76,1,12,0.7646,0.2006,0.1534,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
77,1,13,0.6472,0.2651,0.1716,0.2756,0.993,0.8252,0.5012,0.5499,1.2119,0,10.1
78,1,14,1.0,0.003,0.003,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
79,1,15,0.8494,0.0064,0.0054,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
80,1,16,0.7084,0.0946,0.067,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
81,1,17,0.5208,0.3667,0.191,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
82,1,18,0.8028,0.1619,0.13,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
83,1,19,0.687,0.1918,0.1318,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
84,1,20,0.6254,0.1829,0.1144,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
85,1,21,0.8924,0.0688,0.0614,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
86,1,22,0.5382,0.2007,0.108,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
87,1,23,0.6644,0.012,0.008,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
88,1,24,0.3786,0.2937,0.1112,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
89,1,25,0.5186,0.2518,0.1306,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
90,1,26,0.7424,0.0959,0.0712,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
91,1,27,0.64,0.4066,0.2602,0.2756,1.0,0.8252,0.5012,0.5499,1.2119,0,10.1
